Spanish,English,Type
ques,ans,none
Agua,Water,s
Café,Coffee,s
Teléfono,Telephone,s
Computadora,Computer,s
Cama,Bed,s
Libro,Book,s
Ventana,Window,s
Puerta,Door,s
Silla,Chair,s
Mesa,Table,s
Ropa,Clothes,s
Zapatos,Shoes,s
Cocina,Kitchen,s
Baño,Bathroom,s
Coche,Car,s
Autobús,Bus,s
Trabajo,Work,s
Escuela,School,s
Comida,Food,s
Dinero,Money,s
Tienda,Store,s
Calle,Street,s
Parque,Park,s
Aire acondicionado,Air conditioner,s
Televisión,Television,s
Radio,Radio,s
Música,Music,s
Película,Movie,s
Tiempo,Weather,s
Reloj,Watch,s

