Spanish,English,Type
ques,ans,none
la escuela,the school,s
el colegio,the school,s
la cafetería,the cafeteria,s
el bar,the bar,s
el restaurante,the restaurant,s
la agencia de viajes,the travel agency,s
el centro de estética,the beauty parlour,s
la autoescuela,the driving school,s
el ayuntamiento,the city hall,s
el banco,the bank,s
la biblioteca,the library,s
el supermercado,the supermarket,s
la carnicería,the butcher shop,s
la frutería,the fruit shop,s
la pescadería,the fish shop,s
la panadería,the bakery,s
la comisaría de policía,the police station,s
la fotocopistería,the photocopy shop,s
la oficina de correos,the post office,s
la tienda de ropa,the clothes store,s
la herboristería,the herbalist's shop,s
el hotel,the hotel,s
el hospital,the hospital,s
la iglesia,the church,s
la joyería,the jewelry store,s
la librería,the book store,s
la gasolinera,the gas station,s
la zona peatonal,the pedestrian zone,s
el parque,the park,s
la peluquería,the barber shop,s
la farmacia,the pharmacy,s
la floristería,the florist,s

