Spanish,English,Type
ques,ans,none
hablar,to speak,s
comer,to eat,s
beber,to drink,s
dormir,to sleep,s
estudiar,to study,s
trabajar,to work,s
bailar,to dance,s
cantar,to sing,s
correr,to run,s
nadar,to swim,s
escribir,to write,s
leer,to read,s
pensar,to think,s
querer,to want,s
necesitar,to need,s
entender,to understand,s
ayudar,to help,s
ver,to see,s
oir,to hear,s
sentir,to feel,s
aprender,to learn,s
vivir,to live,s
cocinar,to cook,s
limpiar,to clean,s
viajar,to travel,s
jugar,to play,s
mirar,to watch,s
tocar,to touch,s
perder,to lose,s
ganar,to win,s
esperar,to wait,s
